Date,Open,High,Low,Close,Volume
10-Apr-15,209.20,210.09,208.96,210.04,72722915
9-Apr-15,207.78,209.18,207.19,208.90,85548854
8-Apr-15,207.55,208.51,207.08,207.98,89351939
7-Apr-15,207.86,208.76,207.24,207.28,81236337
6-Apr-15,205.37,208.45,205.21,207.83,114368155
2-Apr-15,205.62,206.98,205.40,206.44,86900906
1-Apr-15,206.39,206.42,204.51,205.70,137303584
31-Mar-15,207.26,208.10,206.36,206.43,126768703
30-Mar-15,206.98,208.61,206.96,208.25,96180365
27-Mar-15,205.13,205.95,204.90,205.74,118938966
26-Mar-15,204.96,206.37,204.12,205.27,153067241
25-Mar-15,209.07,209.35,205.71,205.76,159521708
24-Mar-15,209.85,210.40,208.74,208.82,77805321
23-Mar-15,210.42,211.11,210.00,210.00,71784536
20-Mar-15,209.71,211.02,209.49,210.41,177715081
19-Mar-15,209.96,210.47,209.03,209.50,117917302
18-Mar-15,207.39,211.27,206.62,210.46,228808524
17-Mar-15,207.69,208.42,206.98,207.96,94510422
16-Mar-15,206.71,208.69,205.86,208.58,136099192
13-Mar-15,206.77,207.93,204.58,205.83,162410893
12-Mar-15,205.26,207.18,205.20,207.10,93993523
11-Mar-15,205.29,205.50,204.40,204.50,110145718
10-Mar-15,206.71,206.81,204.93,204.98,157121263
9-Mar-15,207.74,208.79,207.55,208.36,89818893
6-Mar-15,209.42,209.94,207.10,207.50,188127982
5-Mar-15,210.62,210.80,209.85,210.46,76872957
4-Mar-15,210.40,210.49,209.06,210.23,114497192
3-Mar-15,211.47,212.05,210.08,211.12,110325809
2-Mar-15,210.78,212.06,210.72,211.99,87491428
27-Feb-15,211.26,211.58,210.60,210.66,108075972
26-Feb-15,211.52,211.71,210.65,211.38,72697868
25-Feb-15,211.66,212.24,211.22,211.63,73061687
24-Feb-15,211.12,212.05,210.76,211.81,72472263
23-Feb-15,210.94,211.21,210.48,211.21,74411054
20-Feb-15,209.48,211.33,208.73,211.24,140896392
19-Feb-15,209.41,210.42,209.24,209.98,91462491
18-Feb-15,209.66,210.22,209.34,210.13,80652941
17-Feb-15,209.40,210.32,209.10,210.11,76968199
13-Feb-15,209.07,209.84,208.76,209.78,93670430
12-Feb-15,207.89,208.99,206.97,208.92,97545949
11-Feb-15,206.61,207.45,205.83,206.93,91087785
10-Feb-15,205.88,207.12,204.68,206.81,96164183
9-Feb-15,204.77,205.64,204.14,204.63,87219016
6-Feb-15,206.56,207.24,204.92,205.55,125672026
5-Feb-15,204.86,206.30,204.77,206.12,97953181
4-Feb-15,203.92,205.38,203.51,204.06,134306728
3-Feb-15,203.00,204.85,202.55,204.84,124212881
2-Feb-15,200.05,202.03,197.86,201.92,163106969
30-Jan-15,200.57,202.17,199.13,199.45,197729724
29-Jan-15,200.38,202.30,198.68,201.99,173585424
28-Jan-15,204.17,204.29,199.91,200.14,168514312
27-Jan-15,202.97,204.12,201.74,202.74,134044598
26-Jan-15,204.71,205.56,203.85,205.45,92009711
23-Jan-15,205.79,206.10,204.81,204.97,117516753
22-Jan-15,203.99,206.26,202.33,206.10,174356029
21-Jan-15,201.50,203.66,200.94,203.08,122942707
20-Jan-15,202.40,202.72,200.17,202.06,130991069
16-Jan-15,198.77,201.82,198.55,201.63,211879605
15-Jan-15,201.63,202.01,198.88,199.02,176613906
14-Jan-15,199.65,201.10,198.57,200.86,192991092
13-Jan-15,204.12,205.48,200.51,202.08,214553306
12-Jan-15,204.41,204.60,201.92,202.65,144396067
9-Jan-15,206.40,206.42,203.51,204.25,158567288
8-Jan-15,204.01,206.16,203.99,205.90,147217784
7-Jan-15,201.42,202.72,200.88,202.31,125346709
6-Jan-15,202.09,202.72,198.86,199.82,209151408
5-Jan-15,204.17,204.37,201.35,201.72,169632646
2-Jan-15,206.38,206.88,204.18,205.43,121465865
31-Dec-14,207.99,208.19,205.39,205.54,130333829
30-Dec-14,208.21,208.37,207.51,207.60,73540761
29-Dec-14,208.22,208.97,208.14,208.72,79643948
26-Dec-14,208.31,208.85,208.25,208.44,57326703
